ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"198.211.99.26","elite","AS14061","US","DigitalOcean, LLC","82","Digital Ocean","9300","socks5","5105","85","2023-09-30T11:24:57.841Z","100","4150","4164"
"124.133.20.234","elite","AS4837","CN","CHINA UNICOM China169 Backbone","189","JN srd","7302","socks5","4693","1","2023-09-30T11:24:57.738Z","66","2639","3996"
"135.181.78.38","elite","AS24940","FI","Hetzner Online GmbH","37","Hetzner","60063","socks5","5090","1","2023-09-30T11:24:57.843Z","100","4084","4085"
"5.135.178.11","elite","AS16276","FR","OVH SAS","6","OVH","11624","socks5","1616","1","2023-09-30T11:24:52.339Z","100","4122","4122"
"165.227.31.218","elite","AS14061","US","DigitalOcean, LLC","194","DigitalOcean, LLC","19090","socks5","1053","1","2023-09-30T11:24:52.338Z","72","2973","4158"
"49.0.113.6","elite","AS45458","TH","Advanced Wireless Network Company Limited","203","AIS Corporate","5678","socks4","5084","1","2023-09-30T11:24:52.249Z","92","3748","4091"
"188.124.36.212","elite","AS49505","RU","OOO \"Network of data-centers \"Selectel\"","40","N/A","23525","socks4","4600","1","2023-09-30T11:24:47.045Z","100","4161","4163"
"202.159.60.113","elite","AS9340","ID","PT IndoInternet","184","N/A","443","socks4","4585","81","2023-09-30T11:24:46.949Z","99","4049","4075"
"218.1.200.156","elite","AS4812","CN","China Telecom","190","N/A","57114","socks4","4596","1","2023-09-30T11:24:46.953Z","47","1908","4056"
"78.38.108.195","elite","AS58224","IR","Iran Telecommunication Company PJS","188","Abol Medical University","1080","socks5","5096","1","2023-09-30T11:24:46.947Z","80","3316","4142"
"157.230.111.195","elite","AS14061","DE","DigitalOcean, LLC","29","DigitalOcean, LLC","15080","socks4","5008","1","2023-09-30T11:24:46.944Z","99","4084","4124"
"202.159.107.137","elite","AS9340","ID","PT IndoInternet","196","N/A","443","socks4","4906","1","2023-09-30T11:24:45.095Z","100","4065","4071"
"208.94.212.177","elite","AS14220","US","Zoom Broadband","194","Zoom Broadband","64312","socks4","5104","1","2023-09-30T11:24:45.180Z","99","4018","4065"
"136.243.88.67","elite","AS24940","DE","Hetzner Online GmbH","22","Hetzner","14152","socks4","4500","1","2023-09-30T11:24:45.176Z","100","4132","4133"
"37.235.31.27","elite","AS206065","IR","Farabord Dadeh Haye Iranian Co.","196","N/A","9091","socks5","1795","1","2023-09-30T11:24:45.178Z","97","3818","3932"
"54.38.72.186","elite","AS16276","GB","OVH SAS","9","OVH Ltd","16838","socks4","2217","1","2023-09-30T11:24:41.837Z","96","3919","4094"
"45.227.92.213","elite","AS266653","AR","Andros-net Comunicaciones S.R.L.","285","Andros-net Comunicaciones S.R.L","8080","socks4","5003","1","2023-09-30T11:24:41.737Z","96","3892","4072"
"106.75.152.204","elite","AS136958","CN","UCLOUD","225","Shanghai UCloud Information Technology Company Limited","999","socks4","1390","1","2023-09-30T11:24:41.647Z","33","1350","4107"
"104.131.94.90","elite","AS14061","US","DigitalOcean, LLC","82","Digital Ocean","51346","socks5","4701","1","2023-09-30T11:24:41.736Z","100","3968","3978"
"41.139.16.114","elite","AS35091","GH","Teledata, Ghana","187","TeledataICTBlock MTN GSM Network","1080","socks5","5006","1","2023-09-30T11:24:41.648Z","81","3273","4033"
"89.39.100.173","elite","AS8926","MD","Moldtelecom SA","48","JSC Moldtelecom S.A.","31041","socks5","3090","1","2023-09-30T11:24:36.341Z","100","4075","4087"
"154.64.217.128","elite","AS399291","PR","OSNET Wireless","199","OSNet Wireless","36468","socks4","5094","1","2023-09-30T11:24:36.343Z","98","4093","4180"
"14.207.24.72","elite","AS45629","TH","Triple T Broadband Public Company Limited","300","Triple T Broadband Public Company Limited","8080","socks5","4610","1","2023-09-30T11:24:36.344Z","88","3611","4084"
"124.131.202.102","elite","AS4837","CN","CNC Group CHINA169 Shandong Province Network","193","N/A","3128","socks5","4997","1","2023-09-30T11:24:36.347Z","68","2793","4089"
"46.105.108.208","elite","AS16276","FR","OVH SAS","5","OVH ISP","28477","socks5","4408","1","2023-09-30T11:24:36.438Z","100","4158","4158"
"202.159.121.145","elite","AS9340","ID","PT IndoInternet","173","N/A","443","socks4","5005","1","2023-09-30T11:24:36.346Z","100","4143","4150"
"36.67.14.193","elite","AS7713","ID","PT. Telekomunikasi Indonesia","186","N/A","5678","socks4","3199","82","2023-09-30T11:24:31.033Z","99","4051","4073"
"103.70.159.130","elite","AS133720","IN","speednet","114","N/A","5678","socks4","5084","1","2023-09-30T11:24:30.950Z","99","4023","4053"
"212.83.182.139","elite","AS12876","FR","Online","80","Free SAS","5836","socks4","4504","1","2023-09-30T11:24:30.947Z","91","3727","4100"
"45.79.230.234","elite","AS63949","US","Akamai Technologies, Inc.","147","Linode","443","socks4","5017","1","2023-09-30T11:24:26.782Z","100","4113","4118"
"104.251.81.87","elite","AS11325","US","Altus Communications Inc.","79","BraveWay","14778","socks5","2508","1","2023-09-30T11:24:26.879Z","100","4059","4061"
"103.79.96.173","elite","AS64308","ID","PT IndoDev Niaga Internet","201","PT IndoDev Niaga Internet","4153","socks4","4587","1","2023-09-30T11:24:26.779Z","100","4111","4127"
